"zone","offset","country","city"
America/Marigot,-15865,America,Marigot
America/Martinique,-14660,America,Martinique
America/Matamoros,-23400,America,Matamoros
America/Mazatlan,-25540,America,Mazatlan
America/Menominee,-21027,America,Menominee
America/Merida,-21508,America,Merida
America/Metlakatla,54822,America,Metlakatla
America/Mexico_City,-23796,America,Mexico_City
America/Miquelon,-13480,America,Miquelon
America/Moncton,-15548,America,Moncton
America/Monterrey,-24076,America,Monterrey
America/Montevideo,-13491,America,Montevideo
America/Montserrat,-15865,America,Montserrat
America/Nassau,-19052,America,Nassau
America/New_York,-17762,America,New_York
America/Nome,46702,America,Nome
America/Noronha,-7780,America,Noronha
America/North_Dakota/Beulah,-24427,America,North_Dakota-Beulah
America/North_Dakota/Center,-24312,America,North_Dakota-Center
America/North_Dakota/New_Salem,-24339,America,North_Dakota-New_Salem
America/Nuuk,-12416,America,Nuuk
America/Ojinaga,-25060,America,Ojinaga
America/Panama,-19088,America,Panama
America/Paramaribo,-13240,America,Paramaribo
America/Phoenix,-26898,America,Phoenix
America/Port-au-Prince,-17360,America,Port-au-Prince
America/Port_of_Spain,-15865,America,Port_of_Spain
America/Porto_Velho,-15336,America,Porto_Velho
America/Puerto_Rico,-15865,America,Puerto_Rico
America/Punta_Arenas,-17020,America,Punta_Arenas
America/Rankin_Inlet,0,America,Rankin_Inlet
America/Recife,-8376,America,Recife
America/Regina,-25116,America,Regina
America/Resolute,0,America,Resolute
America/Rio_Branco,-16272,America,Rio_Branco
America/Santarem,-13128,America,Santarem
America/Santiago,-16965,America,Santiago
America/Santo_Domingo,-16776,America,Santo_Domingo
America/Sao_Paulo,-11188,America,Sao_Paulo
America/Scoresbysund,-5272,America,Scoresbysund
America/Sitka,53927,America,Sitka
America/St_Barthelemy,-15865,America,St_Barthelemy
America/St_Johns,-12652,America,St_Johns
America/St_Kitts,-15865,America,St_Kitts
America/St_Lucia,-15865,America,St_Lucia
America/St_Thomas,-15865,America,St_Thomas
America/St_Vincent,-15865,America,St_Vincent
America/Swift_Current,-25880,America,Swift_Current
America/Tegucigalpa,-20932,America,Tegucigalpa
America/Thule,-16508,America,Thule
America/Tijuana,-28084,America,Tijuana
America/Toronto,-19052,America,Toronto
America/Tortola,-15865,America,Tortola
America/Vancouver,-29548,America,Vancouver
America/Whitehorse,-32412,America,Whitehorse
America/Winnipeg,-23316,America,Winnipeg
America/Yakutat,52865,America,Yakutat
Antarctica/Casey,0,Antarctica,Casey
Antarctica/Davis,0,Antarctica,Davis
Antarctica/DumontDUrville,35320,Antarctica,DumontDUrville
Antarctica/Macquarie,0,Antarctica,Macquarie
Antarctica/Mawson,0,Antarctica,Mawson
Antarctica/McMurdo,41944,Antarctica,McMurdo
Antarctica/Palmer,0,Antarctica,Palmer
Antarctica/Rothera,0,Antarctica,Rothera
